City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Latehar,IN,2022-11-08 14:36:50,23.75,84.5,65.55,67,2,2.01
1,Buchanan,LR,2022-11-08 14:31:56,5.8808,-10.0467,82.51,72,93,7.92
2,Faanui,PF,2022-11-08 14:36:51,-16.4833,-151.75,77.74,76,73,11.23
3,Gazanjyk,TM,2022-11-08 14:36:51,39.2446,55.5154,46.65,40,0,18.72
4,Caravelas,BR,2022-11-08 14:36:52,-17.7125,-39.2481,77.86,57,100,6.82
5,Bengkulu,ID,2022-11-08 14:36:52,-3.8004,102.2655,77.54,88,100,4.59
6,Mount Isa,AU,2022-11-08 14:36:53,-20.7333,139.5,76.77,36,76,0.0
7,Bethel,US,2022-11-08 14:33:33,41.3712,-73.414,51.03,50,0,14.97
8,Talnakh,RU,2022-11-08 14:36:53,69.4865,88.3972,-14.08,99,87,4.83
9,Grindavik,IS,2022-11-08 14:36:54,63.8424,-22.4338,41.47,87,0,12.66
10,Payo,ID,2022-11-08 14:36:54,-3.7508,103.6372,74.26,97,100,1.97
11,Nantucket,US,2022-11-08 14:31:56,41.2835,-70.0995,52.09,61,30,27.94
12,Makakilo City,US,2022-11-08 14:36:55,21.3469,-158.0858,75.52,76,0,14.97
13,East London,ZA,2022-11-08 14:36:55,-33.0153,27.9116,65.34,94,40,3.44
14,Prince Rupert,CA,2022-11-08 14:36:56,54.3161,-130.3201,28.09,57,0,10.36
15,Deer Lake,CA,2022-11-08 14:36:56,49.1667,-57.4316,40.86,70,75,18.41
16,Takoradi,GH,2022-11-08 14:33:20,4.8845,-1.7554,83.55,69,30,10.09
17,San Raymundo,GT,2022-11-08 14:36:57,14.7647,-90.5956,63.39,85,52,3.42
18,Cabo San Lucas,MX,2022-11-08 14:32:20,22.8909,-109.9124,74.52,65,7,3.0
19,Avera,US,2022-11-08 14:36:57,33.194,-82.5271,71.55,53,0,16.37
20,Malanje,AO,2022-11-08 14:36:57,-9.5402,16.341,77.11,60,100,4.21
21,Ahuimanu,US,2022-11-08 14:36:58,21.4447,-157.8378,76.71,82,40,14.97
22,Koumac,NC,2022-11-08 14:36:58,-20.5667,164.2833,74.71,88,41,11.21
23,Ushtobe,KZ,2022-11-08 14:36:59,45.2514,77.9838,41.27,59,100,10.83
24,Xining,CN,2022-11-08 14:36:59,36.6167,101.7667,44.13,55,81,2.86
25,Necochea,AR,2022-11-08 14:36:59,-38.5473,-58.7368,78.75,29,10,16.22
26,Roma,US,2022-11-08 14:32:03,43.2128,-75.4557,45.73,66,0,11.5
27,Fairbanks,US,2022-11-08 14:35:02,64.8378,-147.7164,24.22,88,100,3.44
28,Alta Floresta,BR,2022-11-08 14:37:00,-9.8756,-56.0861,87.62,66,51,4.61
29,Sawtell,AU,2022-11-08 14:37:01,-30.3833,153.1,60.82,88,75,4.61
30,Caruray,PH,2022-11-08 14:37:01,10.3094,119.0128,79.72,87,100,6.11
31,Alto Araguaia,BR,2022-11-08 14:37:01,-17.3147,-53.2153,87.89,31,6,5.77
32,Bubaque,GW,2022-11-08 14:37:02,11.2833,-15.8333,83.41,45,90,4.43
33,New Norfolk,AU,2022-11-08 14:37:02,-42.7826,147.0587,58.91,55,100,0.6
34,Harnosand,SE,2022-11-08 14:37:03,62.6323,17.9379,37.0,75,68,2.21
35,Katsuura,JP,2022-11-08 14:37:03,35.1333,140.3,60.66,62,8,6.13
36,Mega,ET,2022-11-08 14:38:03,4.05,38.3,69.49,46,99,6.87
37,Georgetown,MY,2022-11-08 14:34:28,5.4112,100.3354,82.33,89,20,3.44
38,Mareeba,AU,2022-11-08 14:38:05,-17.0,145.4333,72.48,88,8,2.46
39,Khatanga,RU,2022-11-08 14:38:05,71.9667,102.5,-8.45,96,100,8.41
40,Nara,JP,2022-11-08 14:38:06,34.6851,135.8049,54.7,61,0,1.83
41,Litein,KE,2022-11-08 14:38:06,-0.5823,35.1903,60.85,81,100,4.14
42,Inta,RU,2022-11-08 14:38:07,66.0317,60.1659,26.17,97,100,7.14
43,Vangaindrano,MG,2022-11-08 14:38:07,-23.35,47.6,75.52,79,100,11.3
44,Fort Nelson,CA,2022-11-08 14:38:08,58.8053,-122.7002,-15.21,82,0,4.61
45,Araouane,ML,2022-11-08 14:38:08,18.9048,-3.5265,89.64,7,0,5.06
46,Belozerskoye,RU,2022-11-08 14:38:09,55.8214,65.5842,29.23,97,100,8.16
47,Alyangula,AU,2022-11-08 14:36:12,-13.8483,136.4192,81.91,75,36,9.62
48,Berlevag,NO,2022-11-08 14:37:31,70.8578,29.0864,35.55,93,100,4.61
49,Annau,TM,2022-11-08 14:38:10,37.8876,58.516,47.7,61,40,6.91
50,Walvis Bay,NA,2022-11-08 14:38:10,-22.9575,14.5053,72.55,60,0,10.36
51,San Patricio,US,2022-11-08 14:37:29,28.017,-97.5169,78.67,76,3,9.08
52,Doka,SD,2022-11-08 14:38:12,13.5167,35.7667,88.9,27,34,1.68
53,Sabang,ID,2022-11-08 14:38:12,5.8933,95.3214,81.18,74,100,1.83
54,Tumbes,PE,2022-11-08 14:38:13,-3.5667,-80.4414,71.37,75,99,7.18
55,Bondo,CD,2022-11-08 14:38:15,3.8146,23.6866,75.43,95,100,4.16
56,Turukhansk,RU,2022-11-08 14:37:26,65.8167,87.9833,20.5,96,100,11.72
57,Adelaide,AU,2022-11-08 14:38:15,-34.9333,138.6,79.11,39,0,14.97
58,Tabou,CI,2022-11-08 14:38:15,4.423,-7.3528,83.19,68,75,7.4
59,Dingle,PH,2022-11-08 14:38:16,10.9995,122.6711,77.32,92,99,7.02
60,Namatanai,PG,2022-11-08 14:38:17,-3.6667,152.4333,79.63,83,100,6.06
61,Benton Harbor,US,2022-11-08 14:38:17,42.1167,-86.4542,45.59,65,0,11.5
62,Kloulklubed,PW,2022-11-08 14:38:17,7.0419,134.2556,77.5,71,98,4.9
63,Suluova,TR,2022-11-08 14:38:18,40.8313,35.6479,51.66,87,75,8.05
64,Aksarka,RU,2022-11-08 14:38:18,66.5606,67.7975,17.08,97,100,0.67
65,Santa Rosa,PH,2022-11-08 14:38:19,14.3122,121.1114,80.58,80,98,7.56
66,Tarakan,ID,2022-11-08 14:38:19,3.3,117.6333,80.1,94,20,2.3
67,Esperance,AU,2022-11-08 14:38:20,-33.8667,121.9,58.19,75,90,8.88
68,Redmond,US,2022-11-08 14:38:21,47.674,-122.1215,38.35,94,97,1.99
69,Man,CI,2022-11-08 14:38:21,7.4125,-7.5538,89.69,35,25,4.94
70,Ixtapa,MX,2022-11-08 14:38:22,20.7,-105.2,75.22,94,0,3.44
71,Paamiut,GL,2022-11-08 14:38:22,61.994,-49.6678,16.77,56,20,6.78
72,Swift Current,CA,2022-11-08 14:38:22,50.2834,-107.8014,5.81,85,100,17.27
73,Innisfail,AU,2022-11-08 14:38:23,-17.5333,146.0333,72.57,81,47,3.56
74,Sibu,MY,2022-11-08 14:38:23,2.3,111.8167,77.31,94,40,3.44
75,Castro,BR,2022-11-08 14:33:41,-24.7911,-50.0119,67.01,50,58,4.09
76,Upernavik,GL,2022-11-08 14:38:24,72.7868,-56.1549,3.11,73,7,7.65
77,Hofn,IS,2022-11-08 14:38:25,64.2539,-15.2082,42.46,76,100,24.0
78,Tasiilaq,GL,2022-11-08 14:38:27,65.6145,-37.6368,30.36,88,100,4.68
79,Burgeo,CA,2022-11-08 14:38:28,47.6167,-57.6152,42.3,67,67,34.14
80,Abu Dhabi,AE,2022-11-08 14:37:02,24.4667,54.3667,89.71,58,0,6.91
81,Kodiak,US,2022-11-08 14:38:29,57.79,-152.4072,36.91,100,100,3.44
82,Hailar,CN,2022-11-08 14:39:29,49.2,119.7,25.72,76,100,6.69
83,Inhambane,MZ,2022-11-08 14:39:29,-23.865,35.3833,82.38,74,75,16.11
84,Trairi,BR,2022-11-08 14:39:07,-3.2778,-39.2689,87.51,49,98,14.47
85,Zhigalovo,RU,2022-11-08 14:39:30,54.8097,105.1578,15.35,97,64,3.15
86,Pauini,BR,2022-11-08 14:39:31,-7.7136,-66.9764,97.93,29,51,2.44
87,Bethanien,NA,2022-11-08 14:39:31,-26.502,17.1583,85.51,19,81,17.16
88,Luderitz,NA,2022-11-08 14:39:32,-26.6481,15.1594,66.97,66,77,17.2
89,Ust-Barguzin,RU,2022-11-08 14:39:32,53.45,108.9833,26.92,74,100,4.29
90,Vardo,NO,2022-11-08 14:39:33,70.3705,31.1107,39.18,81,75,9.22
91,Namibe,AO,2022-11-08 14:39:33,-15.1961,12.1522,79.43,69,0,13.8
92,Constitucion,CL,2022-11-08 14:39:35,-35.3333,-72.4167,59.63,71,100,6.67
93,Alofi,NU,2022-11-08 14:39:35,-19.0595,-169.9187,71.49,94,71,6.91
94,Cabedelo,BR,2022-11-08 14:37:18,-6.9811,-34.8339,86.67,57,100,10.87
95,Varkkallai,IN,2022-11-08 14:39:35,8.7341,76.7067,80.38,82,94,1.92
96,Kiama,AU,2022-11-08 14:39:36,-34.6833,150.8667,64.0,89,6,6.02
97,Skibbereen,IE,2022-11-08 14:39:36,51.55,-9.2667,56.1,83,49,20.02
98,Rio Gallegos,AR,2022-11-08 14:37:20,-51.6226,-69.2181,59.05,38,75,20.71
99,Mnogovershinnyy,RU,2022-11-08 14:39:37,53.9353,139.9242,11.39,92,25,4.76
100,Ugoofaaru,MV,2022-11-08 14:37:25,5.6667,73.0,81.32,76,24,10.94
101,Chapais,CA,2022-11-08 14:39:37,49.7834,-74.8492,28.18,78,100,13.8
102,Tuktoyaktuk,CA,2022-11-08 14:39:38,69.4541,-133.0374,12.2,73,100,17.27
103,Progreso,MX,2022-11-08 14:39:38,21.2833,-89.6667,81.1,64,47,11.56
104,Maan,PH,2022-11-08 14:39:38,5.9339,124.7356,79.59,85,100,3.0
105,Benghazi,LY,2022-11-08 14:39:40,32.1167,20.0667,71.35,62,28,14.52
106,Nyuzen,JP,2022-11-08 14:39:40,36.9333,137.5,48.47,64,75,3.53
107,Mtambile,TZ,2022-11-08 14:39:40,-5.3833,39.7,79.68,78,0,11.5
108,Mori,JP,2022-11-08 14:39:41,34.8333,137.9333,54.95,60,0,5.08
109,Kushmurun,KZ,2022-11-08 14:39:41,52.4503,64.6311,29.52,97,100,7.43
110,Nsukka,NG,2022-11-08 14:39:41,6.8561,7.3927,89.73,33,100,3.51
111,Rio Grande,BR,2022-11-08 14:39:42,-32.035,-52.0986,75.31,60,7,14.76
112,North Bend,US,2022-11-08 14:39:43,43.4065,-124.2243,42.85,97,75,0.0
113,Fort Wellington,GY,2022-11-08 14:39:43,6.4,-57.6,83.39,73,83,4.18
114,Castrovillari,IT,2022-11-08 14:39:44,39.8203,16.2123,66.29,69,7,2.39
115,Hamilton,US,2022-11-08 14:35:02,39.1834,-84.5333,50.23,61,0,13.8
116,Buala,SB,2022-11-08 14:39:45,-8.145,159.5921,78.96,83,100,2.01
117,Oranjemund,NA,2022-11-08 14:39:45,-28.55,16.4333,64.85,73,20,14.5
118,Grand Gaube,MU,2022-11-08 14:39:46,-20.0064,57.6608,76.37,66,90,5.99
119,Alice Springs,AU,2022-11-08 14:39:46,-23.7,133.8833,81.95,34,100,13.8
120,Tecoanapa,MX,2022-11-08 14:39:47,16.5167,-98.75,80.37,79,35,2.15
121,Atyrau,KZ,2022-11-08 14:39:47,47.1167,51.8833,35.62,75,75,8.95
122,Ust-Nera,RU,2022-11-08 14:39:48,64.5667,143.2,-18.51,99,99,3.13
123,Fort Payne,US,2022-11-08 14:39:48,34.4442,-85.7197,72.21,63,40,9.22
124,Reconquista,AR,2022-11-08 14:39:48,-29.15,-59.65,81.88,22,0,10.04
125,Jutai,BR,2022-11-08 14:39:50,-5.1833,-68.9,93.43,42,18,1.74
126,Alugan,PH,2022-11-08 14:39:50,12.2188,125.4808,81.05,87,99,10.09
127,Charters Towers,AU,2022-11-08 14:39:51,-20.1,146.2667,69.35,76,1,11.95
128,Beira,MZ,2022-11-08 14:40:52,-19.8436,34.8389,84.29,65,75,17.27
129,Xifeng,CN,2022-11-08 14:40:52,42.7372,124.7222,43.9,51,26,14.0
130,Nuuk,GL,2022-11-08 14:40:53,64.1835,-51.7216,18.21,67,0,21.85
131,Roswell,US,2022-11-08 14:36:10,34.0232,-84.3616,73.18,65,75,8.05
132,Morondava,MG,2022-11-08 14:36:47,-20.2833,44.2833,82.72,68,1,5.28
133,Plettenberg Bay,ZA,2022-11-08 14:40:53,-34.0527,23.3716,65.19,66,96,4.79
134,Borazjan,IR,2022-11-08 14:40:54,29.2666,51.2159,80.6,35,100,5.39
135,Canberra,AU,2022-11-08 14:36:33,-35.2835,149.1281,53.58,93,100,3.44
136,Sungaipenuh,ID,2022-11-08 14:40:55,-2.0833,101.3833,65.84,97,100,1.5
137,Saint-Philippe,RE,2022-11-08 14:40:55,-21.3585,55.7679,74.79,78,47,9.71
138,Soller,ES,2022-11-08 14:40:56,39.7662,2.7152,75.85,67,87,4.0
139,Saint-Augustin,CA,2022-11-08 14:40:57,51.226,-58.6502,41.45,62,100,24.61
140,Nishihara,JP,2022-11-08 14:40:57,26.1842,127.7558,74.48,74,20,10.36
141,Dolores,AR,2022-11-08 14:40:58,-36.3132,-57.6792,78.51,26,0,15.14
142,Geraldton,AU,2022-11-08 14:40:59,-28.7667,114.6,63.01,77,75,6.91
143,Pitimbu,BR,2022-11-08 14:40:59,-7.4706,-34.8086,86.59,56,56,10.13
144,Karaton,ID,2022-11-08 14:41:00,-6.3424,106.1045,74.25,93,100,2.82
145,Lazaro Cardenas,MX,2022-11-08 14:41:01,17.9583,-102.2,79.84,79,70,2.75
146,Krasnoborsk,RU,2022-11-08 14:41:02,61.5598,45.934,34.92,97,100,5.44
147,Piacabucu,BR,2022-11-08 14:41:03,-10.4056,-36.4344,84.13,60,21,10.45
148,Matara,LK,2022-11-08 14:39:53,5.9485,80.5353,77.67,85,95,3.09
149,Bonavista,CA,2022-11-08 14:41:04,48.6499,-53.1147,45.01,63,7,30.96
150,Nizhnyaya Tavda,RU,2022-11-08 14:41:04,57.6731,66.1725,28.89,98,100,6.35
151,Auchel,FR,2022-11-08 14:41:05,50.5034,2.4735,60.44,70,100,21.85
152,Arkhangelskoye,RU,2022-11-08 14:41:05,55.8549,35.3287,40.91,94,100,10.0
153,Lalibela,ET,2022-11-08 14:41:06,12.0333,39.0333,66.31,42,100,7.94
154,Puerto Madero,MX,2022-11-08 14:41:07,14.7208,-92.4215,80.22,74,75,3.33
155,Barcelos,PT,2022-11-08 14:41:07,41.5388,-8.6151,62.74,82,100,6.78
156,Roebourne,AU,2022-11-08 14:41:08,-20.7833,117.1333,72.57,63,0,17.94
157,Makat,KZ,2022-11-08 14:41:09,47.6469,53.3463,37.78,66,100,3.74
158,Baikunthpur,IN,2022-11-08 14:41:11,23.25,82.55,64.92,58,77,3.33
159,Zhigansk,RU,2022-11-08 14:41:11,66.7697,123.3711,-13.0,96,93,7.92
160,Mulchen,CL,2022-11-08 14:41:12,-37.7167,-72.2333,69.66,32,98,5.84
161,Sur,OM,2022-11-08 14:41:13,22.5667,59.5289,83.12,58,72,5.84
162,Rabo De Peixe,PT,2022-11-08 14:41:14,37.8,-25.5833,67.28,97,20,14.97
163,Okhotsk,RU,2022-11-08 14:41:15,59.3833,143.3,2.61,73,0,19.06
164,Mehamn,NO,2022-11-08 14:41:15,71.0357,27.8492,35.51,100,75,4.61
165,Isangel,VU,2022-11-08 14:41:16,-19.55,169.2667,77.27,88,56,13.56
166,Las Palmas,ES,2022-11-08 14:41:17,28.4204,-14.0131,72.39,73,0,10.36
167,Kuala Kangsar,MY,2022-11-08 14:41:17,4.7667,100.9333,76.95,98,67,2.35
168,Kawalu,ID,2022-11-08 14:41:18,-7.3817,108.2082,72.82,97,100,0.65
169,Torrelavega,ES,2022-11-08 14:41:19,43.3494,-4.0479,64.06,80,100,3.0
170,Djambala,CG,2022-11-08 14:41:19,-2.5447,14.7533,76.14,77,95,0.27
171,Mehran,IR,2022-11-08 14:41:20,33.1222,46.1646,72.99,20,82,1.41
172,Bowen,AU,2022-11-08 14:41:20,-20.0167,148.2333,74.41,72,6,14.38
173,Igrim,RU,2022-11-08 14:42:21,63.1906,64.4162,18.86,99,77,2.84
174,Port Blair,IN,2022-11-08 14:42:21,11.6667,92.75,78.84,89,100,6.91
175,Lugovoy,KZ,2022-11-08 14:42:22,42.9472,72.7644,37.6,95,100,8.68
176,Nouadhibou,MR,2022-11-08 14:42:22,20.931,-17.0347,78.78,57,47,11.5
177,Mayor Pablo Lagerenza,PY,2022-11-08 14:42:23,-19.9309,-60.7718,96.62,17,20,5.59
178,Ortona,IT,2022-11-08 14:42:24,42.3496,14.4039,65.39,67,61,5.95
179,Taoudenni,ML,2022-11-08 14:42:24,22.6783,-3.9836,88.59,10,0,5.79
180,Cidreira,BR,2022-11-08 14:42:26,-30.1811,-50.2056,63.0,84,100,13.04
181,Arman,RU,2022-11-08 14:42:26,59.7,150.1667,5.02,90,100,5.17
182,Teknaf,BD,2022-11-08 14:42:27,20.8624,92.3058,74.5,82,15,7.36
183,Wanning,CN,2022-11-08 14:42:27,18.8003,110.3967,74.71,92,89,7.92
184,Ewa Beach,US,2022-11-08 14:42:30,21.3156,-158.0072,76.95,76,0,14.97
185,Giyani,ZA,2022-11-08 14:42:31,-23.3025,30.7187,81.32,55,93,3.74
186,Beyneu,KZ,2022-11-08 14:37:54,45.3167,55.2,38.53,64,96,5.53
187,Kurchum,KZ,2022-11-08 14:42:31,48.5722,83.6542,44.73,66,100,8.48
188,Yeppoon,AU,2022-11-08 14:42:32,-23.1333,150.7333,65.98,69,6,15.55
189,Wawina,HN,2022-11-08 14:42:32,15.4167,-84.4333,83.53,63,3,7.0
190,Henties Bay,NA,2022-11-08 14:38:36,-22.116,14.2845,66.29,75,9,9.75
191,Great Bend,US,2022-11-08 14:40:03,38.3645,-98.7648,61.61,98,100,19.57
192,Sapa,PH,2022-11-08 14:42:33,5.1544,120.3241,80.38,79,96,3.09
193,Byron Bay,AU,2022-11-08 14:38:21,-28.65,153.6167,55.94,74,7,6.62
194,Pedernales,DO,2022-11-08 14:42:34,18.0384,-71.744,81.12,56,3,3.67
195,Ahipara,NZ,2022-11-08 14:42:34,-35.1667,173.1667,56.97,96,21,7.02
196,Havelock,US,2022-11-08 14:38:32,34.8791,-76.9013,66.97,61,0,32.21
197,Rosa Zarate,EC,2022-11-08 14:42:35,0.3333,-79.4667,78.78,69,98,2.26
198,Kajaani,FI,2022-11-08 14:42:35,64.2273,27.7285,32.05,100,100,4.61
199,Bontang,ID,2022-11-08 14:42:36,0.1333,117.5,77.72,88,94,4.92
200,Umred,IN,2022-11-08 14:42:36,20.85,79.3333,71.89,51,2,2.89
201,Khasan,RU,2022-11-08 14:42:37,42.4308,130.6434,44.91,62,27,4.45
202,Penalva,BR,2022-11-08 14:42:37,-3.2942,-45.1736,80.28,84,100,3.65
203,Gamba,GA,2022-11-08 14:42:38,-2.65,10.0,77.61,88,100,8.28
204,Metro,ID,2022-11-08 14:42:23,-5.1131,105.3067,75.85,91,100,0.56
